"window","source_version","source_file","segment","source_step","source_event_indices","batch_ids","channel","unit","command_start","command_end","command_delta","fast_start_s","fast_end_s","servo_rate_deg_s","servo_duration_s","wheel_active_duration_s","wheel_velocity_rad_s","wheel_integral_rad","active_channels","held_channels","simultaneous_servo_and_wheel","evidence_level","timing_scope"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",0,1,"[0]","[]","rear_left_ankle","rad/s",0,0,0,0,0.06,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",0,1,"[0]","[]","rear_right_ankle","rad/s",0,0,0,0,0.06,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","front_left_hip","deg",0,0,0,0.06,0.11666666666666667,150,0.056666666666666664,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","front_left_knee","deg",0,0,0,0.06,0.11666666666666667,150,0.056666666666666664,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","front_right_hip","deg",0,0,0,0.06,0.11666666666666667,150,0.056666666666666664,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","front_right_knee","deg",0,0,0,0.06,0.11666666666666667,150,0.056666666666666664,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","rear_left_hip","deg",9,17.5,8.5,0.06,0.11666666666666667,150,0.056666666666666664,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","rear_left_knee","deg",0,0,0,0.06,0.11666666666666667,150,0.056666666666666664,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","rear_right_hip","deg",0,0,0,0.06,0.11666666666666667,150,0.056666666666666664,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","rear_right_knee","deg",0,0,0,0.06,0.11666666666666667,150,0.056666666666666664,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","front_left_ankle","rad/s",0,0,0,0.06,0.11666666666666667,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","front_right_ankle","rad/s",0,0,0,0.06,0.11666666666666667,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","rear_left_ankle","rad/s",0,0,0,0.06,0.11666666666666667,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",1,1,"[1]","[]","rear_right_ankle","rad/s",0,0,0,0.06,0.11666666666666667,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","front_left_hip","deg",0,0,0,0.11666666666666667,0.22266666666666668,150,0.106,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","front_left_knee","deg",0,0,0,0.11666666666666667,0.22266666666666668,150,0.106,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","front_right_hip","deg",0,0,0,0.11666666666666667,0.22266666666666668,150,0.106,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","front_right_knee","deg",0,0,0,0.11666666666666667,0.22266666666666668,150,0.106,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","rear_left_hip","deg",17.5,33.4,15.899999999999999,0.11666666666666667,0.22266666666666668,150,0.106,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","rear_left_knee","deg",0,0,0,0.11666666666666667,0.22266666666666668,150,0.106,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","rear_right_hip","deg",0,0,0,0.11666666666666667,0.22266666666666668,150,0.106,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","rear_right_knee","deg",0,0,0,0.11666666666666667,0.22266666666666668,150,0.106,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","front_left_ankle","rad/s",0,0,0,0.11666666666666667,0.22266666666666668,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","front_right_ankle","rad/s",0,0,0,0.11666666666666667,0.22266666666666668,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","rear_left_ankle","rad/s",0,0,0,0.11666666666666667,0.22266666666666668,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",2,1,"[2]","[]","rear_right_ankle","rad/s",0,0,0,0.11666666666666667,0.22266666666666668,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","front_left_hip","deg",0,0,0,0.22266666666666668,0.2506666666666667,150,0.028000000000000018,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","front_left_knee","deg",0,0,0,0.22266666666666668,0.2506666666666667,150,0.028000000000000018,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","front_right_hip","deg",0,0,0,0.22266666666666668,0.2506666666666667,150,0.028000000000000018,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","front_right_knee","deg",0,0,0,0.22266666666666668,0.2506666666666667,150,0.028000000000000018,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","rear_left_hip","deg",33.4,37.6,4.200000000000003,0.22266666666666668,0.2506666666666667,150,0.028000000000000018,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","rear_left_knee","deg",0,0,0,0.22266666666666668,0.2506666666666667,150,0.028000000000000018,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","rear_right_hip","deg",0,0,0,0.22266666666666668,0.2506666666666667,150,0.028000000000000018,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","rear_right_knee","deg",0,0,0,0.22266666666666668,0.2506666666666667,150,0.028000000000000018,,,,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","front_left_ankle","rad/s",0,0,0,0.22266666666666668,0.2506666666666667,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","front_right_ankle","rad/s",0,0,0,0.22266666666666668,0.2506666666666667,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
