state_id,objective,channel_index,channel_name,actuator_family,unit,enabled,role,sensitivity_tier,absolute_lower,absolute_upper,safety_lower,safety_upper,safety_span,residual_scale,safe_span_fraction,recording_envelope_hard_cap,derivation
P10,SECOND_REAR_TRANSFER_PREP,7,rear_right_knee,servo,deg,True,load_transfer,medium,-60.0,210.0,-58.0,208.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P10,SECOND_REAR_TRANSFER_PREP,8,front_left_ankle,wheel,rad_s,True,transfer_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P10,SECOND_REAR_TRANSFER_PREP,9,front_right_ankle,wheel,rad_s,True,transfer_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P10,SECOND_REAR_TRANSFER_PREP,10,rear_left_ankle,wheel,rad_s,True,transfer_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P10,SECOND_REAR_TRANSFER_PREP,11,rear_right_ankle,wheel,rad_s,True,transfer_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.06,0.014323944878270581,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,0,front_left_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,1,front_left_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,2,front_right_hip,servo,deg,True,load_capture,medium,-135.0,135.0,-133.0,133.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,3,front_right_knee,servo,deg,True,load_capture,medium,-60.0,210.0,-58.0,208.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,4,rear_left_hip,servo,deg,True,unload,medium,-135.0,135.0,-133.0,133.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,5,rear_left_knee,servo,deg,True,unload,medium,-60.0,210.0,-58.0,208.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,6,rear_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,7,rear_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.25,0.004699248120300752,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,8,front_left_ankle,wheel,rad_s,False,inactive,blocked,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.0,0.0,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,9,front_right_ankle,wheel,rad_s,True,capture_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.05,0.011936620731892153,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,10,rear_left_ankle,wheel,rad_s,True,unload_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.05,0.011936620731892153,False,safe_span_x_phase_role_x_sensitivity_tier
P11,TRANSFER_TOWARD_FR,11,rear_right_ankle,wheel,rad_s,False,inactive,blocked,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.0,0.0,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,0,front_left_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,1,front_left_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,2,front_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,3,front_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,4,rear_left_hip,servo,deg,True,active_swing,medium,-135.0,135.0,-133.0,133.0,266.0,3.0,0.011278195488721804,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,5,rear_left_knee,servo,deg,True,active_swing,medium,-60.0,210.0,-58.0,208.0,266.0,4.0,0.015037593984962405,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,6,rear_right_hip,servo,deg,True,support,high,-135.0,135.0,-133.0,133.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,7,rear_right_knee,servo,deg,True,support,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,8,front_left_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,9,front_right_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,10,rear_left_ankle,wheel,rad_s,True,placement_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.05,0.011936620731892153,False,safe_span_x_phase_role_x_sensitivity_tier
P12,RL_ACTIVE_LIFT_AND_PLACE,11,rear_right_ankle,wheel,rad_s,True,support_wheel,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,0,front_left_hip,servo,deg,True,home_recovery,high,-135.0,135.0,-133.0,133.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,1,front_left_knee,servo,deg,True,home_recovery,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,2,front_right_hip,servo,deg,True,home_recovery,high,-135.0,135.0,-133.0,133.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,3,front_right_knee,servo,deg,True,home_recovery,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,4,rear_left_hip,servo,deg,True,home_recovery,high,-135.0,135.0,-133.0,133.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,5,rear_left_knee,servo,deg,True,home_recovery,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,6,rear_right_hip,servo,deg,True,home_recovery,high,-135.0,135.0,-133.0,133.0,266.0,2.0,0.007518796992481203,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,7,rear_right_knee,servo,deg,True,home_recovery,high,-60.0,210.0,-58.0,208.0,266.0,1.5,0.005639097744360902,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,8,front_left_ankle,wheel,rad_s,True,wheel_stop,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,9,front_right_ankle,wheel,rad_s,True,wheel_stop,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,10,rear_left_ankle,wheel,rad_s,True,wheel_stop,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
P13,FINAL_ADVANCE_AND_RECOVERY,11,rear_right_ankle,wheel,rad_s,True,wheel_stop,high,-2.0943951023931953,2.0943951023931953,-2.0943951023931953,2.0943951023931953,4.1887902047863905,0.08,0.019098593171027443,False,safe_span_x_phase_role_x_sensitivity_tier
